2024-03-01 14:56:11,091: 'd'
2024-03-01 14:56:11,299: 'd'
2024-03-01 14:56:11,392: 'f'
2024-03-01 14:56:11,491: 'd'
2024-03-01 14:56:11,575: 'f'
2024-03-01 14:56:11,665: 'd'
2024-03-01 14:56:11,676: 's'
2024-03-01 14:56:11,749: 'f'
2024-03-01 14:56:11,857: 'd'
2024-03-01 14:56:11,863: 's'
2024-03-01 14:56:11,928: 'f'
2024-03-01 14:56:14,146: 'f'
2024-03-01 14:56:14,308: 'd'
2024-03-01 14:56:14,308: 's'
2024-03-01 14:56:14,441: 'f'
2024-03-01 14:56:14,574: 'd'
2024-03-01 14:56:14,668: 'f'
2024-03-01 14:56:14,803: 'd'
2024-03-01 14:56:14,912: 'f'
2024-03-01 14:56:15,818: Key.backspace
2024-03-01 14:56:16,006: Key.backspace
2024-03-01 14:56:16,175: Key.backspace
2024-03-01 14:56:16,335: Key.backspace
2024-03-01 14:56:16,493: Key.backspace
2024-03-01 14:56:16,653: Key.backspace
2024-03-01 14:56:17,153: Key.backspace
2024-03-01 14:56:17,403: Key.backspace
2024-03-01 14:56:23,174: Key.enter
2024-03-01 14:56:23,611: 'p'
2024-03-01 14:56:23,807: 'r'
2024-03-01 14:56:23,958: 'i'
2024-03-01 14:56:24,081: 'n'
2024-03-01 14:56:24,209: 't'
2024-03-01 14:56:24,509: Key.shift
2024-03-01 14:56:25,000: Key.shift
2024-03-01 14:56:25,033: Key.shift
2024-03-01 14:56:25,059: Key.shift
2024-03-01 14:56:25,090: Key.shift
2024-03-01 14:56:25,119: Key.shift
2024-03-01 14:56:25,151: Key.shift
2024-03-01 14:56:25,178: Key.shift
2024-03-01 14:56:25,191: '('
2024-03-01 14:56:26,084: 'k'
2024-03-01 14:56:26,195: 'e'
2024-03-01 14:56:26,416: 'y'
2024-03-01 14:56:28,607: 'f'
2024-03-01 14:56:28,710: 'd'
2024-03-01 14:56:28,841: 'f'
2024-03-01 14:56:28,968: 's'
2024-03-01 14:56:28,968: 'd'
2024-03-01 14:56:29,065: 'f'
2024-03-01 14:56:29,174: 'd'
2024-03-01 14:56:29,180: 's'
2024-03-01 14:56:30,434: Key.backspace
2024-03-01 14:56:30,922: Key.backspace
2024-03-01 14:56:30,953: Key.backspace
2024-03-01 14:56:30,981: Key.backspace
2024-03-01 14:56:31,008: Key.backspace
2024-03-01 14:56:31,224: Key.backspace
2024-03-01 14:56:31,400: Key.backspace
2024-03-01 14:56:31,553: Key.backspace
2024-03-01 14:56:44,363: 'f'
2024-03-01 14:56:44,497: 'a'
2024-03-01 14:56:44,666: 'c'
2024-03-01 14:56:44,945: 'e'
2024-03-01 14:56:45,333: 'b'
2024-03-01 14:56:46,374: Key.enter
2024-03-01 14:57:25,087: Key.caps_lock
2024-03-01 14:57:25,464: 'k'
2024-03-01 14:57:25,716: Key.caps_lock
2024-03-01 14:57:26,063: Key.backspace
2024-03-01 14:57:26,693: 'k'
2024-03-01 14:57:26,861: 'e'
2024-03-01 14:57:27,088: 'y'
2024-03-01 14:57:27,306: Key.caps_lock
2024-03-01 14:57:27,426: 'l'
2024-03-01 14:57:27,529: Key.caps_lock
2024-03-01 14:57:27,640: 'o'
2024-03-01 14:57:27,909: 'g'
2024-03-01 14:57:28,131: Key.right
2024-03-01 14:57:28,352: Key.right
2024-03-01 14:57:33,750: 'd'
2024-03-01 14:57:33,842: 'f'
2024-03-01 14:57:33,968: 'd'
2024-03-01 14:57:33,970: 's'
2024-03-01 14:57:34,053: 'f'
2024-03-01 14:57:34,153: 's'
2024-03-01 14:57:34,154: 'd'
2024-03-01 14:57:34,225: 'f'
2024-03-01 14:57:34,325: 's'
2024-03-01 14:57:34,328: 'd'
2024-03-01 14:57:34,398: 'f'
2024-03-01 14:57:34,498: 'd'
2024-03-01 14:57:34,514: 's'
2024-03-01 14:57:34,568: 'f'
2024-03-01 14:57:34,659: 'd'
2024-03-01 14:57:34,661: 's'
2024-03-01 14:57:34,728: 'f'
2024-03-01 14:57:34,832: 's'
2024-03-01 14:57:34,841: 'd'
2024-03-01 14:57:34,925: 'f'
2024-03-01 14:57:35,029: 's'
2024-03-01 14:57:35,032: 'd'
2024-03-01 14:57:53,203: Key.ctrl_l
2024-03-01 14:57:53,462: '\x03'
2024-03-01 14:57:53,662: '\x03'
2024-03-01 14:57:57,290: Key.ctrl_l
2024-03-01 14:57:57,415: '\x16'
2024-03-01 14:57:59,588: '\\'
2024-03-01 14:58:00,527: '\\'
2024-03-01 14:58:01,489: '\\'
2024-03-01 14:58:01,669: '\\'
